Nome,Biografia breve,Status di partigiano,Biografia,
Amati Primo Fu Raffaele,"Nato a Rimini il 17 ottobre 1894, artigiano, coniugato.",Riconosciuto partigiano della brigata sap con ciclo operativo dal 1 gennaio al 12 settembre 1944.,"Ucciso da una scheggia di granata il 12 settembre 1944, a Viserbella di Rimini, durante un'azione di collegamento.",
Ancillotti Sirio Di Paolo,"Nato a Marradi il 3 marzo 1918, residente a Fognano, coniugato, padre di una figlia.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dall'8 gennaio al 20 aprile 1944.,Durante il Grande rastrellamento d'aprile si ammalava di pleurite con successiva bronchialite. Nono riuscì a riprendersi e il 6 ottobre 1944 decedeva.,
"Angelini Adelmo Di Ferdinando,","nato a Ravenna il 20 novembre 1914; residente a Villafranca di Forlì, operaio, coniugato e padre di tre figli.",Riconosciuto partigiano della 29 gap di Forlì con ciclo operativo dal 3 marzo al 10 ottobre 1944.,"Il 16 settembre 1944 fu arrestato dalle SS ed inviato alla volta della Germania. A Bologna riuscì a fuggire. Nel tentativo di rientrare a Forlì, fu nuovamente arrestato dalle SS e tradotto nella caserma dei carabinieri di Villafranca. Di lui non si ebbero notizie sino al 10 settembre 1945, quando i miseri resti del suo corpo furono ritrovati in un podere di Villafranca.",
Antonelli Vladimiro Di Raffaele,"Nato a San Mauro Pascoli il 22 settembre 1924, ivi residente, ebanista, secondogenito, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 2 febbraio 1944 al 26 settembre 1944.,"Inquadrato nel distaccamento A, del battaglione di Cesena della 29° brigata gap, la scheda biografica reca: ""Mentre trasportava armi veniva catturato e fucilato il 26/9/1944"".",
Arcangeli Adamo Di Guido,"Nato a Cesenatico il 18 febbraio 1920, ivi residente, coniugato.",Riconosciuto partigiano della 29 brigata gap con ciclo operativo dal 1 aprile 1944 al 3 settembre 1944.,"Arrestato perché renitente alla leva, fu fucilato dai fascisti nel sferisterio della Rocca malatestiana di Cesena, per rappresaglia, assieme ad altri 7 partigiani, il 3 settembre 1944.",
Arienti Gino Di Aristide,"Nato a Cesena il 23 aprile 1924, residente in frazione Martorano, settimo di otto figli, nubile.",Riconosciuto partigiano dell' 8° brigata con ciclo operativo dall'8 marzo al 17 aprile 1944.,"Venne fucilato dai fascisti a Ponte Messa, di Casteldelci, assieme ad altri 7 partigiani, il 7 aprile 1944.",
Asioli Armando Di Cesare,"Nato a Forlì il 9 dicembre 1906, ivi residente, operaio, coniugato e padre di un figlio.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 12 ottobre 1943 al 7 maggio 1944.,"Attivamente ricercato perché ritenuto organizzatore degli scioperi operai del febbraio - marzo e dell'attentato contro la caserma Caterina Sforza di Forlì, il 7 maggio 1944, a seguito di una delazione, veniva sorpreso nei pressi della sua abitazione di Villanova e ucciso da un milite della gnr.",
Auria Salvatore Di Benedetto,"Nato a Sommatino, il 18 ottobre 1916 ivi residente, falegname.",Riconosciuto partigiano della 8° Brigata Garibaldi con ciclo operativo dal 10 settembre 1943 al 17 aprile 1944.,"Liberato dal confino di polizia il 14 agosto 1943, essendogli impossibile rientrare al paese di residenza, si portò a Forlì presso il compagno di confino Agostino Buda di Gambettola.. A fine settembre fu incaricato dal Comitato militare romagnolo di formare il primo gruppo partigiano della zona cesenate a Pieve di Rivoschio, di cui, nel mese di novembre assunse il comando. Successivamente fu commissario politico. Cadde a Strabatenza il 14 aprile 1944, durante il Grande rastrellamento d'aprile 
Medaglia d'argento al VM",
"Babini don Francesco Di Angelo,","nato a Verghereto il 20 novembre 1914, sacerdote.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 15 aprile al 7 agosto 1944.,"Parroco di Donicilio (Verghereto), fu arrestato il 14 luglio 1944 assieme al suo giovane colono Riziero Bartolini, per aver nascosto nella canonica un giovane renitente di leva e un aviere sudafricano. Tradotto nelle carceri di Forlì a disposizione delle SS tedesche, il 26 luglio, in seguito all'uccisione di un soldato tedesco, fu prelevato dalle carceri, condotto a Pievequinta e qui fucilato per rappresaglia assieme al giovane Bartolini e altre 8 persone.",
Bagaglia Alceo Fu Getulio.,"Nato a Mercato Saraceno il 13 agosto 1907, ivi residente, colono, coniugato, padre di due figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 15 maggio al 12 settembre 1944.,"Il 12 settembre 1944, in servizio di portaordini, in località Muselle di Mercato Saraceno, moriva colpito da una granata.",
Bagnoli Rino Di Domenico,"Nato a Cesena il 17 maggio 1925, residente in frazione Pievesestina, apprendista falegname, primo di cinque figli, celibe.","Riconosciuto partigiano dell'8° brigata, con ciclo operativo dal 9 marzo al 17 aprile 1944.",Caduto durante il Grande rastrellamento d'aprile. Il 17 aprile 1944 veniva catturato nella Valle dell'Oia. Nella notte venne fucilato al cimitero di Stia assieme ad altri 16 partigiani.,
Bagnolini Guido Di Luigi,"Nato a Cesena il 31 gennaio 1923, ivi residente, primo di quattro fratelli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 marzo al 20 ottobre 1944.,"Catturato dai fascisti a Cesena il 14 settembre 1944, tradotto a Forlì assieme a Gherardi Amleto e Mario Tomasini da allora non si sono avute più sue notizie.",
Baldassarri Lorenzo Di Mario,"Nato a Tredozio il 1 gennaio 1918, residente a Galeata, Sambusseto di Sotto, San Zeno, colono, terzo di quattro figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 4 maggio al 22 ottobre 1944.,"Catturato il 20 ottobre, dai tedeschi, nei pressi della sua abitazione, il 23 ottobre veniva fucilato nei pressi di Rocca San Casciano.",
Baldini Adolfo Di Armando,"Nato a S. Agata il 19 marzo 1923, residente a Massa Lombarda, colono, primo di tre figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 febbraio al 12 maggio 1944.,"Caduto durante il Grande rastrellamento d'aprile. Rifugiatosi in una capanna nei pressi di Santa Sofia per sfuggire ai rastrellamenti, il 12 maggio, una delazione consentì ai fascisti di catturarlo e fucilarlo.",
Baldoni Bruno,"Di Pietro Natale. Nato a Cesena il 14 settembre 1916, ivi residente, falegname, coniugato, padre di due figli.",Partigiano della 29° brigata gap con ciclo operativo dal 15 gennaio al 17 ottobre 1944.,"La sua scheda biografica reca ""Deceduto il 17-10-44 in seguito allo scoppio di una granata mentre era in servizio""",
Balekta Otto,Residente a Vienna.,Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 4 novembre 1943 al 5 novembre 1944.,"Componente di una pattuglia partigiana, di guida a soldati alleati, il 5 novembre 1944, a San Lorenzo di Meldola, si scontrava con truppe tedesche e rimaneva ucciso.",
Balestra Renzo,"Fu Luigi. Nato a Cesena il 2 novembre 1922, manovale, ivi residente, celibe.",Riconosciuto partigiano dell' 8° brigata con ciclo operativo dall' 8 marzo al 17 aprile 1944.,"Il 7 aprile 1944 fu catturato dai tedeschi nell'infermeria partigiana delle Capanne, condotto sino a Ponte Messa di Casteldelci venne consegnato ai fascisti che lo fucilarono assieme ad altri 7 partigiani.",
Balzani Mario Di Giovanni,"Nato a Santa Sofia il 16 maggio 1921, residente a Casetto Arpineto del comune di Galeata.",Riconosciuto partigiano dell' 8° brigata con ciclo operativo dal 1 gennaio al 30 aprile 1944.,Catturato nel corso del Grande rastrellamento d'aprile 1944 fu deportato in Germania. Non si sono avute più sue notizie.,
Bandini Domenico Di Giuseppe,"Nato a Brisighella il 7 luglio 1912, residente a Modigliana fondo Fondaccio, coniugato, padre di cinque figli.",Riconosciuto partigiano della 29° G.A.P. con ciclo operativo dal 20 aprile 1944 al 23 luglio 1944.,"Fucilato, a Monte Paolo di Dovadola, dai tedeschi, per attività partigiane.",
Bandini Ledo Di Giuseppe,"Nato a Rimini l' 8 ottobre 1923, residente a Rimini, primo di due figli, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 15 gennaio 1944 al 30 novembre 1944.,Catturato durante il Grande rastrellamento d'aprile il 1 maggio 1944 unitamente a Walter Ghelfi. Tradotto a Fossoli fu poi inviato in campo di concentramento in Germania dove vi decedeva il 9 febbraio 1945.,
Bandini Nello Fu Luigi,"Nato e residente a Brisighella il 20 giugno 1910, bracciante, vedovo, padre di due figli di dieci e nove anni.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dal 2 febbraio 1944 al 5 aprile 1944.,"Fu ferito e catturato il 27 gennaio 1944 in località Molinetto di Tredozio da un reparto tedesco in azione di rastrellamento per ""ripulire"" la zona di Tredozio. Dopo un periodo trascorso in infermeria fu aggregato ai partigiani catturati a Ca Morelli la settimana precedente - in sostituzione del minorenne Vittorio Piemonti inviato al carcere minorile di Bologna - e con loro condannato a morte dal Tribunale Militare Tedesco. Il 5 aprile 1944, venne fucilato a Verona assieme ad altri sei partigiani.",
Baravelli Stefano Di Sante,"Nato il 31 gennaio 1928 a Mercato Saraceno, residente a Linaro, alle Tombette di sopra, secondo di otto figli di una famiglia di coltivatori diretti, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 1 giugno 1944 al 19 agosto 1944.,"Caduto durante il Rastrellamento d'agosto. Ferito gravemente in località Canella di mezzo di Linaro, il 19 agosto, da una raffica di mitra sparatagli dai tedeschi in azione di rastrellamento, decedeva il giorno dopo sulla treggia che lo conduceva all'ospedale di Mercato Saraceno.",
Barbanti Guido Fu Lazzaro,"Nato a Cesena il 6 aprile 1900 e lì residente, colono possidente, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 maggio 1944 al 29 settembre 1944.,"Ucciso il 29 aprile 1944, ad un posto di blocco, nel corso del rastrellamento di Martorano - Bagnile, durante il quale furono uccise altre sette persone. In un documento redatto dal cln di Martorano la sua uccisione fu determinata dalla volontà di rapinarlo delle 40 mila lire che aveva nel portafoglio, più che di punirlo per le sue idee politiche.",
Barbieri Ernesto Fu Eugenio,"Nato a Cesena il 26 settembre 1904, residente in frazione San Giorgio, falegname, coniugato e padre di due figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 gennaio al 22 agosto 1944.,"Dopo l'8 settembre 1943 fu tra gli organizzatori e i dirigenti dei Gap cesenati e presidente del Cln clandestino di Cesena. Attivamente ricercato dai fascisti, il 22 agosto un ex appartenente all'organizzazione conduceva un drappello di fascisti alla casa di Colombo Barducci dove era nascosto. Il loro tentativo di fuga era stroncato dalle raffiche di mitra che uccidevano Barducci e lo ferivano gravemente, un milite a lui legato da rapporti di parentela lo finì con due colpi di rivoltella. Alla memoria è stata conferita la medaglia d'argento al valore militare.",
Bardeschi Gustavo Di Angiolo,"Nato a Badia Tedalda (Ar) il 2 aprile 1908, residente a Pratieghi (Ar), agricoltore, coniugato e padre di una figlia.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 3 aprile al 2 luglio 1944.,"L'atto di notorietà redatto nel Comune di Badia Tedalda il 29 luglio 1945 attesta: ""fu in data 2 Luglio 1944 in località ""Serra delle Balze"" Comune di Verghereto (Forlì) per opera delle truppe tedesche fucilato per accertata attività e collaborazione con la Brigata Partigiana Garibaldi""",
Barducci Colombo Di Agostino,"Nato a Cesena l' 11 settembre 1919, residente in frazione Ronta, colono, coniugato e padre di una figlia.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 gennaio al 22 agosto 1944.,"Il 22 agosto 1944 un gruppo di fascisti circondò la sua abitazione perché ritenuta nascondiglio di partigiani. Datosi alla fuga assieme a Ernesto Barbieri da lui ospitato, venne ucciso con raffiche di mitra",
Bartoletti Edgardo Fu Lincoln,"Nato a Mercato Saraceno il 23 gennaio 1920, residente a Cesena, barbiere, primo di tre figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 settembre 1943 all'11 aprile 1944.,"La scheda biografica reca ""In un'azione il giorno 11-4-44 in località Bulgarnò fu preso improvvisamente dei fascisti e fucilato nel posto"".",
Bartolini Giorgio Fulvio Di Antonio,"Nato a Cesena il 15 novembre 1925, colono, residente a Bagnile, terzo di cinque fratelli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 1 febbraio 1944 al 29 aprile 1944.,"Renitente di leva, nascosto in un campo, venne scoperto e fucilato dai fascisti nel corso del Rastrellamento di Martorano - Bagnile del 29 aprile 1944 nel corso del quale vennero uccise altre sette persone.",
Bartolini Oliviero Di Federico,"Nato a Sogliano al Rubiconde il 22 marzo 1924, operaio, primo di tre fratelli, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 15 marzo 1944 al 18 novembre 1944.,"Il 9 ottobre 1944, intento a trasportare, assieme ad altri otto civili di Montepetra, un contadino ferito nel bombardamento aereo effettuato per errore da aerei alleati due giorni prima (con 17 morti: 10 civili e sette militari inglesi), venne ferito da una granata sparata dai tedeschi attestati a Montesasso. Trasportato all'ospedale di Arezzo vi decedeva il 17 novembre 1944.",
Bartolini Vittorio Di Antonio,"Nato a Sarsina il 6 agosto 1930, ivi residente, terzo di quattro fratelli, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 28 agosto al 28 ottobre 1944.,"L'atto di notorietà redatto nel comune di Sarsina in data 22 aprile 1946 attesta: ""è deceduto il 26 settembre 1944 in seguito a ferite di schegge di granata tedesca mentre prestava la sua opera, in aiuto alle truppe alleate, nella riattivazione"" di un ponte sulla strada per Sarsina per consentire agli alleati di occupare Sarsina.",
Bassini Mario Di Francesco,"Nato a Civitella il 15 agosto1906, ivi residente, facchino, coniugato e padre di quattro figli.",Riconosciuto partigiano nella 8° brigata con ciclo operativo dal 20 settembre 1943 al 3 ottobre 1944.,"""Aiutò ad organizzare i primi reparti di partigiani, a rifornirli di armi, vettovagliamento, notizie sulle posizioni nemiche."" 
Alle ore 11 del giorno 3 ottobre 1944, venne arrestato da truppe nazifasciste in azione di rastrellamento a seguito dell'uccisione di due tedeschi, avvenuta tra Seggio e Montevecchio. Alle ore 20, di quello stesso giorno, venne fucilato alle Cave di Seggio con altre cinque persone.",
Batarra Enrico Di Domenico (o Angelo),"Nato a Rimini il 21 settembre 1891, ivi residente, falegname, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 1 febbraio 1944 al 24 agosto 1944.,"L'atto di notorietà redatto nel Comune di Rimini il 29 maggio 1946 attesta: ""appartenente alla 29° Brigata G.A.P. G. Sozzi, distaccamento di Rimini, è stato ucciso dai nazi-fascisti il 24-8-44""",
Battelli Tullio Di Sante,"Nato a Cesena l' 11 ottobre 1923, residente in frazione Martorano, colono, terzo di otto figli, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dall' 8 marzo 1944 al 9 aprile 1944.,"Fucilato a Ponte Messa di Casteldelci. L'atto di notorietà redatto nel comune di Cesena il 3 aprile 1948 così attesta le cause della morte: ""appartenente 8° Brigata Garibaldi 11° Compagnia, durante un rastrellamento da parte di militari tedeschi e fascisti, svoltosi in località Calanco, Comune di Castel Delcio il giorno 8 aprile 1944, fu fucilato""",
Battistini Virginia Fu Cesare,"Nata a Montiano il 7 novembre 1931, ivi residente, casalinga, nubile.",Riconosciuta partigiana della 29° brigata gap con ciclo operativo dal 2 febbraio all' 8 settembre 1944.,"Nonostante la giovanissima età era staffetta partigiana. Dall'atto di notorietà sulla causa di morte redatto nel Comune di Montiano il 25 settembre 1946 apprendiamo che ""venne uccisa durante un bombardamento aereo il giorno 25 settembre 1944 alle ore 9, mentre portava, assieme al partigiano Bartoli Eugenio viveri in montagna. Il fatto è accaduto in parrocchia di Montenovo e precisamente in via Castello"".",
Bazzocchi Solideo Fu Francesco,"Nato a Forlì il 19 ottobre 1925, ivi residente, studente, primo di tre fratelli.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 12 marzo 1944 al 22 giugno 1944.,"Il 22 giugno 1944, fermato da un reparto della 2da compagnia della legione ""M"" guardia del duce del 2° battaglione, in parrocchia San Matteo di Meldola, trovato in possesso di una pistola veniva immediatamente passato per le armi.",
Bazzotti Domenico Di Antonio,"Nato a Forlì il 22 settembre 1920, residente a Villafranca, primo di quattro figli, celibe.",Riconosciuto partigiano della brigata sap con ciclo operativo dal 1 luglio al 20 settembre 1944.,In missione rimaneva ucciso nel corso del bombardamento aereo di Forlì del 25 agosto 1944.,
Becci Lino Di Leone,"Nato a Badia Tedalda (Ar) il 29 settembre 1924, bracciante, secondo di otto figli, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 14 giugno 1944 al 20 ottobre 1944.,"Appartenente al distaccamento di Giorgio Baffè, il 20 ottobre 1944, in località Ciliegiolo del comune di Badia Tedalda, decedeva per lo scoppio di una mina.",
Belli Vittorio Di Domenico,"Nato a Cesena il 21 maggio 1927, ivi residente, colono, quarto di cinque figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 10 giugno 1944 al 13 ottobre 1944.,"""Deceduto 13 ottobre 1944 in seguito a ferite riportate dallo scoppio di granata nemica durante l'espletamento di una missione di guerra"".",
Benassi Primo Di Jago,"Nato a Reggio Emilia il 4 settembre 1925, residente a Rimini, figlio unico, fattorino, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dall' 8 settembre 1943 al 16 aprile 1944.,"Partigiano nella zona ravennate, poi dell'8° brigata col grado di commissario politico, durante il grande rastrellamento d'aprile, il giorno 16, venne catturato e fucilato dai tedeschi in località Valdonetto.",
Benelli Lucia Di Raffaele,"Nata a Forlì l'11 gennaio 1921, residente in frazione Roncadello, prima di quattro figli, nubile.",Riconosciuta partigiana della brigata sap con ciclo operativo dal 2 aprile al 28 ottobre 1944.,"Il 28 ottobre 1944, in servizio di staffetta a Forlì, veniva colpita e uccisa da una scheggia di granata",
Benini Mario Secondo Di Sante,"Nato a Cesena il 30 aprile 1924, ivi residente, operaio edile, secondo di tre figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 gennaio 1944 al 21 ottobre 1944.,"Il 21 ottobre 1944, a Cesena, rimaneva ucciso dallo scoppio di una granata.",
Benini Francesco Ivo Di Ottavio,"Nato a Mercato Saraceno il 23 ottobre 1927, residente in frazione Bora, primo di tre fratelli, celibe.",Riconosciuto partigiano dell 8° brigata con ciclo operativo dal 16 agosto 1944 al 16 ottobre 1944.,"Il 16 ottobre 1944, di ritorno con Natale Canali, dall'accompagnamento di una pattuglia militare alleata, venne individuato dai tedeschi in località Raggio e abbattuto con una raffica di mitra.",
Benini Luigi Di Aristide,"Nato a Cesena il 15 dicembre 1916, ivi residente, colono, secondo di otto figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 14 maggio al 19 ottobre 1944.,Deceduto il 19 ottobre 1944 per azione di guerra.,
Benzoni Antonio Fu Domenico,"Nato a Forlì il 23 luglio 1888, ivi residente, impiegato delle ferrovie dello stato, coniugato e padre di due figli.",Partigiano nella 29° G.A.P. con ciclo operativo dall' 11 febbraio 1944 al 14 agosto1944.,"Fucilato il 14 agosto 1944 nel Cimitero di Castrocaro, assieme al marchese Gian Raniero Paolucci de Calboli e tre militi della gnr accusati di collaborare con i partigiani. Ai loro corpi si aggiunse quello di Umberto Mercuri precipitato, il giorno precedente, dalla finestra del palazzo dov'era interrogato, morendo sul colpo. Per tre giorni i corpi rimasero insepolti.",
Beoni Michele Di Luigi,"Nato a Santa Sofia il 26 ottobre 1905, residente a Cusercoli",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 15 febbraio 1944 al 20 agosto 1944.,"Disperso durante il Rastrellamento d'agosto. Il 10 ottobre 1947 venne redatto verbale di irreperibilità: ""Catturato durante il rastrellamento di Pieve di Rivoschio il 20 agosto 1944 da reparti tedeschi e da quel giorno non si seppe più nulla""",
Berlini Mario Di Leopoldo,"Nato il 30 ottobre 1924 a Cesena, ivi residente, coltivatore diretto, primo di quattro figli, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dall' 8 marzo al 9 aprile 1944.,"Il 17 aprile 1944, nel corso del Grande rastrellamento d'aprile, veniva catturato nella valle dell'Oia. Fu poi condotto con altri 16 partigiani nei pressi del cimitero di Stia e con loro fucilato.",
Bernabini Gino Di Stefano,"Nato a Gatteo il 9 marzo 1925, residente a Cesena frazione Calisese, colono, secondo di cinque figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 1 gennaio all'11 maggio 1944.,Fu fucilato l'11 maggio 1944 in località Case Missiroli per attività partigiane.,
Bertaccini Battista Di Domenico,"Nato a Teodorano il 16 febbraio 1901, residente nella frazione Sant'Andrea di Forlimpopoli, operaio, coniugato e padre di due figli.",Riconosciuto partigiano della brigata sap con ciclo operativo dal 1 giugno al 20 ottobre 1944.,"Con Renato Fabbri, Antonio Greggi, Rino e Adriana Ragazzini (padre e figlia) componeva la squadra sap della frazione Sant'Andrea di Forlimpopoli che operò per lo smistamento di armi e stampa alle brigate gap e 8° e si distinse in azioni di disarmo di militi e in attentati a strutture logistiche tedesche. Il 21 ottobre 1944, un aereo alleato bombardava per errore la sua abitazione dove l'intera squadra era riunita, distruggendo l'abitazione e uccidendo tutti gli occupanti.",
Bertaccini Edo Di Aldo,"Nato a Forlì il 12 gennaio 1924, residente a Forlì in frazione Coriano, primo di tre figli di una famiglia di coltivatori diretti, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dall' 8 settembre 1943 al 12 luglio 1944.,"Partecipò alla costruzione della formazione partigiana di montagna assumendo lo pseudonimo di Fulmine, sin dall'ottobre del 1943. Divenne comandante della 7° compagnia. Durante il Grande rastrellamento d' aprile la sua compagnia si sciolse ed egli raggiunse la pianura. Catturato alla Fratta fu incarcerato a Forlì e poi inviato in campo di concentramento a Carpi, dove il 12 luglio venne fucilato assieme ad altri 67 partigiani.",Decorato di medaglia d'argento al VM.
Bertaccini Giuseppe Fu Giovanni,"Nato a Civitella di Romagna il 31 luglio 1887, residente a Porcentico, comune di Predappio, coniugato e padre di cinque figli.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 10 gennaio 1944 al 23 agosto 1944.,"Il 17 agosto una ventina di armati, militi e tedeschi, dopo aver circondato l'abitazione a Porciantico, lo trassero in arresto e lo picchiarono assieme al fratello Angelo affinché rivelassero quanto era di loro conoscenza. Tradotto e imprigionato a Civitella assieme a una trentina di persone, il 23 agosto venne prelevato con altri cinque e fucilato in San Filippo, sulla strada per Collina alla periferia di Civitella.",
Berti Antonio Benvenuto Fu Giovanni,"Nato a Galeata l'11 agosto 1893, residente a Santa Sofia in frazione Santa Lucia, bracciante, coniugato e padre di due figlie.",Riconosciuto partigiano della 8° brigata con ciclo operativo al 24 ottobre 1943.,"L'atto di notorietà redatto nel comune di Santa Sofia in data 24 aprile 1946 così stabilisce le cause della morte, ucciso ""il giorno 24 ottobre 1943 in località ""podere concia"" della parrocchia di S. Lucia del Comune di Santa Sofia - in seguito ad azione di rappresaglia consumata da militari tedeschi per la morte di un loro ufficiale colpito da arma da fuoco da partigiani""",
